OBJECTID,Codigo,Texto,Cod_CCAA,provNombre,provCodigo,GastoTotalSuministroAgua2019,GastoTotalSuministroAgua2018,GastoTotalSuministroAgua2017,GastoTotalSuministroAgua2016,GastoTotalSuministroAgua2015,GastoTotalAguaMineral2019,GastoTotalAguaMineral2018,GastoTotalAguaMineral2017,GastoTotalAguaMineral2016,GastoTotalAguaMineral2015,NumeroFamilias2019,NumeroFamilias2018,NumeroFamilias2017,NumeroFamilias2016,NumeroFamilias2015,GastoSuministroAgua2019,GastoSuministroAgua2018,GastoSuministroAgua2017,GastoSuministroAgua2016,GastoSuministroAgua2015,GastoAguaMineral2019,GastoAguaMineral2018,GastoAguaMineral2017,GastoAguaMineral2016,GastoAguaMineral2015,Shape__Area,Shape__Length
28,28,Madrid,13,Madrid,28,713158725.609999,698773806.78,710548941.77,663943297.47,672032475.24,88916653.33,92548746.35,89962609.0799999,84002677.2899999,78799033.01,2870240,2905627,2860340,2782253,2728317,248.466583146357,240.489851856415,248.414154180971,238.6351268091,246.3175925818,30.9788217466135,31.8515578049075,31.4517187047693,30.1923215789505,28.8819198832101,13901298828.6423,997241.399943256
29,29,Málaga,01,Malaga,29,128566390.78,125124962.94,134680333.23,122545781.05,149326791.79,42310434.52,41736387.34,39923867.38,37839149.13,40387824.35,715972,702023,706402,679319,644089,179.56902054829,178.234848345425,190.656783573659,180.395044228117,231.841860037976,59.0950966238903,59.4515953750803,56.517206038488,55.7015910492714,62.7053471647552,11424758653.7916,780458.150829768
30,30,Murcia,14,Murcia,30,131953505.49,126178590.11,133166351.16,124538641.19,162370537.33,49944491.86,56816293.62,50753724.37,41459147.17,44120288.01,563607,542048,546351,522231,506125,234.123255193779,232.781211460978,243.737727504846,238.474240690422,320.811138216844,88.6158118334229,104.817827240392,92.89582039751,79.3885218801641,87.1727103185972,18250070959.9496,924892.603746824
31,31,Navarra,15,Navarra,31,44893028.41,41084241.67,42480186.97,39483589.51,44961000.97,9900295.54,9565131.9,9264469.14,9182201.43,8014617.99,290895,291060,287450,270046,267457,154.32726038605,141.153857177214,147.782873438859,146.21060674848,168.105530870383,34.0339144364805,32.8630931766646,32.2298456775091,34.0023604497012,29.9660057130679,19290430802.9819,1124671.58478368
32,32,Ourense,12,Ourense,32,14835787.55,17418191.15,19947703.8,14932855.38,14601097.62,5894443.97,8800753.23,5926544.29,5070780.54,5688283.58,149151,159840,171357,160954,159600,99.4682405749878,108.972667354855,116.410206761323,92.7771622948172,91.4855740601504,39.5199761986175,55.059767454955,34.5859479916198,31.5045325993762,35.6408745614035,13264171459.9365,807953.2887629
33,33,Asturias,03,Asturias,33,67695040.85,72229107.05,76071935.92,67497666.67,78338600.61,20930839.52,20121393.32,20804464.08,18782841.54,15414372.95,503530,516300,515220,486607,482000,134.440928743074,139.897553844664,147.649423391949,138.710841952541,162.528217033195,41.5682074950847,38.972289986442,40.3797680214277,38.5996122949321,31.9800268672199,20019595265.6492,1234864.5068573
34,34,Palencia,07,Palencia,34,7945239.74,8768888.96,8991373.32,8535130.38,7836005.07,2857727.91,3286921.33,3296588.29,3717646.07,3143257.56,73634,77848,82637,81327,81666,107.901780970747,112.641159181996,108.805659934412,104.948299826626,95.9518657703328,38.80989637939,42.2222963981091,39.8924003775549,45.7123227218513,38.489182279039,14760770773.1638,970566.361109774
35,35,"Palmas, Las",05,Las Palmas,35,98614391.43,103654318.48,104842618.67,95013191.51,105521629.3,65927520.25,68705423.63,65485463.43,51911289.58,64715958.26,489603,494992,491729,449161,442616,201.417048976416,209.406047936128,213.21219344395,211.534820498663,238.404461881179,134.655057771296,138.801078865921,133.17388933742,115.573902409158,146.212423997325,5250341373.75439,1059425.32122474
36,36,Pontevedra,12,Pontevedra,36,49793583.44,51567291.32,65749758.31,54220731.84,49728392.06,19709698.84,23337354.7,22025925.26,17783427.02,17064263.25,425199,448251,474574,432905,427703,117.106539385088,115.041107147558,138.544796617598,125.248569177995,116.268513571333,46.354057370784,52.0631402941655,46.4119931981103,41.079283029764,39.8974598027136,8246811099.0332,1088538.18313352
37,37,Salamanca,07,Salamanca,37,17077260.52,16994476.92,18718892.09,17829127.58,15750144.29,6333309.44,6194521.4,7146187.09,7105610.5,6263788.2,148644,154806,161105,158110,158182,114.886981781976,109.779187628387,116.190633996462,112.764072987161,99.5697632473986,42.6072323134469,40.0147371548906,44.3573265261786,44.9409303649358,39.5986155188327,21576649163.0586,949093.597885968
38,38,Santa Cruz de Tenerife,05,Tenerife,38,89538780.13,95825209.81,95032268.01,83515188.24,93816420.45,64684488.87,65722225.2,57582001.3,47771711.83,54571852.94,458902,459230,447131,401929,393113,195.115253648927,208.664960499096,212.537864764465,207.785922986398,238.650007631394,140.954907300469,143.113962937961,128.781053650943,118.85609605179,138.819761595267,4370210465.33838,963560.859291195
39,39,Cantabria,06,Cantabria,39,34953075.83,36429601.34,37391855.52,35629942.52,40710248,12943300.14,13434668.12,15473131.32,12581856.88,11429582.79,254610,267067,271807,259271,252531,137.280844546561,136.406225179449,137.567669412488,137.423554967582,161.208912965141,50.8357886178862,50.3044858406317,56.9269051937588,48.5278217772138,45.2601177281205,10025234074.7728,1030707.83109642
40,40,Segovia,07,Segovia,40,7154063.22,7732866.95,8123236.55,7662381.83,6809208.36,2980084.63,3330553.69,3346923.58,3484871.37,3024441.75,71170,73365,76567,74110,74630,100.520770268372,105.402670892115,106.093180482453,103.392009580354,91.2395599624816,41.8727642264999,45.3970379608805,43.7123510128384,47.0229573606801,40.5258173656706,12228511136.5439,682490.747150281
41,41,Sevilla,01,Sevilla,41,141983642.57,139062166.26,150512721.19,132464310.33,164260890.94,43807532.55,48811472.48,45469733.34,42251489.19,39913517.37,776880,781760,781514,754147,730382,182.761356412831,177.883450496316,192.591202703982,175.647864845978,224.89723314649,56.3890595072598,62.4379252967663,58.1815979496209,56.0255350614668,54.6474548523923,22302111898.6045,1151382.73305076
42,42,Soria,07,Soria,42,3668127.22,4139925.82,4050981.3,4117286.58,3923977.36,1243791.27,2136809.45,1415937.57,2047133.95,1927004.7,39152,39861,41545,43255,42574,93.6893956885983,103.859055718622,97.5082753640631,95.1863733672408,92.168397613567,31.7682690539436,53.6065189031886,34.082021181851,47.3271055369321,45.2624770986987,18457978174.7592,887721.35092835
43,43,Tarragona,09,Tarragona,43,68711508.69,67493700.91,69478009.32,61489496.17,71109968.22,28865171.59,29799927.51,24935963.39,23557278.37,22467591.04,341159,337704,331039,309247,308258,201.40611471484,199.860531441736,209.878622518797,198.836192978428,230.683285494618,84.6091458528135,88.2427436749343,75.3263615163168,76.176255129395,72.8856705746485,11107383626.277,934583.650607653
44,44,Teruel,02,Teruel,44,6775020.94,6433098.24,8063773.27,8036926.33,8754639.93,2968276.9,3794108.49,2832213.86,3069960.45,2132783.1,61600,63207,64655,66708,66199,109.984106168831,101.7782562058,124.720025829402,120.479197847335,132.247313856705,48.1863133116883,60.0267136551331,43.805024514732,46.0208738082389,32.217754044623,25764193752.9641,1167747.94038838
45,45,Toledo,08,Toledo,45,33039929.67,34353834.13,34936652.45,33331881.46,36599713.74,15400477.11,14545633.33,16898947.04,16766516.8,15097677.63,275175,275625,269833,260546,256009,120.068791387299,124.639761015873,129.475091816049,127.930889209583,142.962605767766,55.966120141728,52.7732728526077,62.627428965323,64.3514650004222,58.9732299645716,26065010387.3013,1233071.76539049
46,46,Valencia/Valéncia,10,Valencia,46,220735591.73,223109219.7,221828816.65,213285405.94,238924273.99,93136585.16,93949202.85,85834993.86,85250654.49,78925780.21,1081508,1075669,1068219,1015949,1005088,204.099823330017,207.414380910856,207.6623020654,209.937118831752,237.714781183339,86.1173335379858,87.340253228456,80.353367483634,83.9123366330396,78.5262387074565,18110130147.2784,1006256.69691567
47,47,Valladolid,07,Valladolid,47,26500187.77,26204519.03,29495148.28,27854174.7,24933954.23,10109540.69,9259626.86,11359604.82,10858226.64,10189756.33,217758,224739,235101,231953,225359,121.695587624795,116.599784772558,125.457349309446,120.085425495682,110.641040428827,46.4255765115403,41.2016911172516,48.3179774650044,46.8121845373847,45.2156618107109,14531327283.5854,993223.952155792
48,48,Bizkaia,16,Bizkaia,48,73444747.68,75100593.56,78784243.51,70699482.83,57890230.46,11094217.13,12333328.22,12377505,12107274.35,10466758.09,545451,558192,576828,528580,516376,134.649579302265,134.54258312552,136.581864108538,133.753609349578,112.10867751406,20.3395302786135,22.0951361180382,21.457878258337,22.9052827386583,20.2696447743505,4161383715.47119,618802.443580246
49,49,Zamora,07,Zamora,49,8157665.82,8599200.47,9555995.2,8908476.85,8373127.49,3007652.22,3563799.75,3739872.88,3997247.28,3283384.56,75878,80364,89228,91474,93689,107.510290466275,107.003141580807,107.096373335724,97.3880758466887,89.3715109564623,39.6380007380268,44.3457238315664,41.9136692518044,43.6981795920152,35.0455716252708,18976873433.9634,1017874.49084746
50,50,Zaragoza,02,Zaragoza,50,37077006.1,38736511.18,38104580.31,36108306.67,43441156.4,27691965.48,22020743.17,26580043.03,20488832.64,18515142.35,408203,403072,398027,388547,384872,90.8298226617639,96.1032053330422,95.7336570383416,92.9316316172818,112.871698642666,67.8387113274523,54.6322819992458,66.7794974461532,52.7319285440371,48.1072729374961,30937788020.0194,1582271.97278145
51,51,Ceuta,18,Ceuta,51,5752053.76,5779407.69,5736355.2,5423540.22,6259626.46,2084439.04,2143222.34,1666906.92,2522901.6,1683877.54,28352,28939,29508,23274,24218,202.88,199.71,194.4,233.03,258.47,73.52,74.06,56.49,108.4,69.53,29441993.7172852,50690.4112500517
52,52,Melilla,19,Melilla,52,3759513.59,3331824.79,3552782.64,5738798.52,6488045.6,3872876.28,4268139.47,4087933.41,2480271.43,2192192.48,29911,28651,28633,25753,25736,125.69,116.29,124.08,222.84,252.1,129.48,148.97,142.77,96.31,85.18,19934342.5900879,30498.8860228473
