#,¿En qué rango de edad te encuentras?,¿Cuántas personas sois en vuestro hogar?,¿En qué provincia vives? Vamos a conocernos un poco mejor 😄,¿De cuál de estos temas te interesaría saber más?,¿Cuánto duran tus duchas?,¿Cuántas veces pones la lavadora a la semana?,¿Cuántas veces pones el lavavajillas?,¿Sueles poner el modo *ECO *en tus electrodomésticos?,¿Reciclas agua para usarlo en otras tareas?,"¿*Reciclas *vidrio, cartón y plástico?",¿Cada cuánto consumes *carne*?,¿Cuántos km haces a la semana en coche?,¿Cuánto gastas al mes en comida para gato/perro?,¿Cuántos metros cuadrados tiene tu jardín?,¿Sabes cuánto dinero gastas en tu consumo de agua al mes?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
x0z7dharxz61aofacpx0z7dhgqjszw93,Entre 36 y 65 años,4,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:35:36,2023-05-16 14:37:16,a6b37a6b62,
8z1t2aewlr3x6188z1t5h64yw16duesv,Entre 36 y 65 años,2,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Menos de 10 €,2023-05-16 14:34:03,2023-05-16 14:37:11,af85eeabbe,
hm432anlwlutkxpsgphmig6nme8hxp5w,Entre 36 y 65 años,1,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:31:14,2023-05-16 14:33:11,766275a4b0,
t7zhnylatjxj7tnqt7zhnpfv0w11wf9m,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,No uso coche,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 14:30:49,2023-05-16 14:32:48,913c34b0dc,
2vb7hl524xvek2vb7fxggcgsb6xa5o3o,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Más de 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,No uso coche,Menos de 50 €,0,Menos de 10 €,2023-05-16 14:27:57,2023-05-16 14:30:33,e8a8a1b223,
ovs0yqhpf2difovspvlce6olq6zlpg7a,Entre 36 y 65 años,3,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,2023-05-16 14:28:01,2023-05-16 14:30:28,a6f54331d3,
3zgc1j4x1agq2vj3jdeetsn73zgc1ic5,Mayor de 65 años,2,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,1 vez al día,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,No tengo,Entre 10€ y 40 €,2023-05-16 14:25:15,2023-05-16 14:28:38,5f1158d150,
9iqqfi01eb3pptsmrb267m9iqqfynuu0,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 14:25:06,2023-05-16 14:28:17,1dfe1f1075,
zkclhncya8qbydix7c4wzkclhn97v0tg,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:26:00,2023-05-16 14:28:01,77e9be4526,
9g2n0ott56z2mlav8bs9g2n0f5idigym,Entre 18 y 35 años,4,Ciudad Real,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,No tengo mascota,90,Entre 10€ y 40 €,2023-05-16 14:26:27,2023-05-16 14:27:57,1681eb52bb,
0o18cg5s0ws9hbufsy0o18cgf0y6rtjo,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Más de 200 km,Entre 50 y 100 €,1000,Más de 40 €,2023-05-16 14:25:13,2023-05-16 14:27:20,f7d5db3b2d,
jzvcddgqaqp6tnru1yz2jzvcddj9pytk,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 14:24:49,2023-05-16 14:27:02,e90aa9cb1a,
z9gb2kxm9xekqgyicokz9gb2kxrb2b4h,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:07:29,2023-05-16 14:26:51,cc658bb5f1,
aqa8dxuxzbtlsck7eaqa8r1244v0j06x,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez al día,No uso coche,Menos de 50 €,0,Menos de 10 €,2023-05-16 14:21:54,2023-05-16 14:22:56,f48ee9e36f,
4i0c3ztiwyb6jj1l4i0zvjucts2vxsui,Entre 18 y 35 años,3,Madrid,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:20:50,2023-05-16 14:22:47,d742b8abf5,
9mhpzoxh9ig6rwy9mhp99b69ei495872,Entre 18 y 35 años,3,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,Nunca!,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 14:20:56,2023-05-16 14:22:06,5db62c7520,
32gjgtg5pn8v8m032gjvhkc7gf4ugnzr,Entre 18 y 35 años,3,Valencia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,A veces,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:20:06,2023-05-16 14:21:56,f7c868d46c,
44k1ssm7w3x0xrvu144k1y6k1umuxk05,Entre 36 y 65 años,1,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez al día,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 14:19:13,2023-05-16 14:21:00,747682a155,
5mxaf1znpfxnnw293h5mxaf1nhw284kj,Entre 36 y 65 años,2,Barcelona,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:18:23,2023-05-16 14:20:49,ad3854eaba,
oi5sb7w8g7yj9ukvg0ooi5sb73x4kjzh,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:18:00,2023-05-16 14:20:06,670d6c4cb6,
pt5a528jpdvh2l0jhqpt5a5cebglzl20,Entre 18 y 35 años,4,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,Nunca!,No uso coche,Entre 50 y 100 €,0,Ni idea!,2023-05-16 14:18:12,2023-05-16 14:20:03,29a3071db0,
2408locs2vcij2403pf01m6hmglszt5o,Entre 36 y 65 años,5,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Más de 5,1 vez al día,Siempre,No,A veces,1 vez al día,No uso coche,Menos de 50 €,0,Más de 40 €,2023-05-16 14:17:32,2023-05-16 14:19:37,e648379f08,
mok114xid7afbmo4p1fzym60o8p8ozo4,Entre 36 y 65 años,1,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,Nunca!,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:17:33,2023-05-16 14:19:18,9afe7f9872,
653r91l9okwusp94653r93cu1k0ee8zx,Entre 18 y 35 años,2,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 14:17:49,2023-05-16 14:18:57,7ce91d015a,
6wsl2a49q4cyl6wslgr1l4v4eirtkpfw,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:15:32,2023-05-16 14:18:28,533596f537,
bc75k489eis2pb7dabc75r8nn2ayvgt5,Entre 18 y 35 años,2,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,0,Menos de 10 €,2023-05-16 14:16:33,2023-05-16 14:18:22,cc53cc8e92,
x2mnak4y226dxmwpb1cx2mnakaj6gpc2,Entre 36 y 65 años,4,Toledo,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Menos de 10 €,2023-05-16 14:14:25,2023-05-16 14:18:20,807ac24f23,
uyrmt8y1gcaukjmyag82uyrmt3ttzcxt,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:15:53,2023-05-16 14:17:49,2f48bd5d6e,
06xotapdys3gedcf06dkh06xotapdp24,Entre 36 y 65 años,3,Toledo,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,40,Entre 10€ y 40 €,2023-05-16 14:15:09,2023-05-16 14:17:33,383a90621b,
ccgtndz0tythsqum45vccgtnd4j2xyzp,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,Más de 200 km,No tengo mascota,200,Menos de 10 €,2023-05-16 14:14:59,2023-05-16 14:17:16,7eef851810,
c7g5g35dx07ntqnk8aj3xc7g5g804tcv,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,30,Entre 10€ y 40 €,2023-05-16 14:14:47,2023-05-16 14:16:45,f83c279619,
mfqbcw2hx9e8iq2mfqiwq8xn5olgusui,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 14:12:39,2023-05-16 14:16:08,d138437319,
y4fkgd5pbg7itvvng5ky4fknlz3o0fn8,Entre 36 y 65 años,3,Barcelona,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €,2023-05-16 14:13:14,2023-05-16 14:15:52,04b932524c,
gii52mmokwwh1sxdzqgii517j7wpjktw,Entre 36 y 65 años,1,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez a la semana,100 - 200 km,No tengo mascota,"En plantas , 5",Entre 10€ y 40 €,2023-05-16 14:11:46,2023-05-16 14:15:48,f37e3da995,
0w5sojuql1ptpift89r7b0w5sojwpgan,Entre 36 y 65 años,2,Barcelona,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 14:12:34,2023-05-16 14:15:41,2a40a55b3f,
kj29df96jie3kj405oms6by2p1igsc81,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 14:12:49,2023-05-16 14:15:31,44a540f9bc,
4ukd2whpswfpnqw1o4ukdrj5btbvjxi9,Entre 18 y 35 años,2,Madrid,Ahorrar agua,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,A veces,1 vez a la semana,No uso coche,No tengo mascota,0,Ni idea!,2023-05-16 14:12:31,2023-05-16 14:15:11,633f477e8a,
1k6ko5zx9i1dg4h4161k6ko5zjxk50sj,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez a la semana,No uso coche,Entre 50 y 100 €,0,Más de 40 €,2023-05-16 14:11:56,2023-05-16 14:15:02,52078d9432,
lbzcf6p25b9z3z79lbzcf5k1if2u5txe,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:13:36,2023-05-16 14:15:01,be322635dc,
ndumoaf8smw6oi87ndumo592bz4uxhgp,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,1 vez al día,Siempre,No,A veces,1 vez al día,100 - 200 km,Entre 50 y 100 €,1000,Ni idea!,2023-05-16 14:12:59,2023-05-16 14:14:59,ecc09f857b,
tu60y5bf4lu8wjhvl9tu60yvd4dqulee,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 14:13:08,2023-05-16 14:14:38,38c72d0cd5,
vamrc18qp8th2xnvamrwuesrbu0btxuu,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Más de 200 km,Menos de 50 €,Tengo huerto pero cojo agua de un pozo,Más de 40 €,2023-05-16 14:11:04,2023-05-16 14:13:55,bc2ea7796e,
jpc6i8t128k7tkpjpco9a181hrgem91p,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Más de 200 km,Entre 50 y 100 €,No tiene cesped,Más de 40 €,2023-05-16 14:09:41,2023-05-16 14:12:17,9ea8923d09,
5srur40rfc6avb95sf4uadxtcne0gk6q,Entre 36 y 65 años,3,Valladolid,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez al día,Más de 200 km,No tengo mascota,0,Menos de 10 €,2023-05-16 14:09:58,2023-05-16 14:11:29,96c167e8db,
67gij4jjmvyyalp7pnt67gij4jcgfzjm,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,500,Ni idea!,2023-05-16 14:07:39,2023-05-16 14:10:38,76e067b681,
0i5c0v6oj4suoxyn5wh0i5c0aztvq5d8,Entre 36 y 65 años,1,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:08:41,2023-05-16 14:10:24,7c38b02a4e,
eawg3ggmful6xqeawg3mp0zguow0j41m,Entre 36 y 65 años,2,Segovia,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,A veces,1 vez al día,100 - 200 km,Menos de 50 €,Tengo macetas,Ni idea!,2023-05-16 14:05:57,2023-05-16 14:10:05,8609773bc4,
bnsgl2bow4hdy7lybnsgjcg5g55k0a17,Entre 18 y 35 años,2,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Más de 40 €,2023-05-16 14:06:19,2023-05-16 14:08:56,ab8b357220,
665ult5ygnfd3nxywu5665ucxxry4l10,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:06:08,2023-05-16 14:08:22,a6243a98cb,
8yy27ve182sdqivw37c8yy27vq5cne5o,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 14:06:23,2023-05-16 14:08:13,642ebde684,
c83fg8vkdtw8l3hydc83fg8ev3ws6uqj,Entre 18 y 35 años,2,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Nunca!,1 vez al día,No uso coche,Entre 50 y 100 €,0,Entre 10€ y 40 €,2023-05-16 14:05:50,2023-05-16 14:07:50,c00053b61f,
o35pyu99t1na22ey0o35py2rmxaw81ym,Entre 18 y 35 años,4,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 14:01:35,2023-05-16 14:03:19,f0e80f5621,
nzgudk6moljfjfa1nzg01da373v25x2v,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:01:05,2023-05-16 14:02:55,4a29820985,
udundgvlavyk0y7p3zoujeudundgvz7w,Entre 36 y 65 años,1,Toledo,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,100 - 200 km,Menos de 50 €,No tengo,Entre 10€ y 40 €,2023-05-16 14:00:16,2023-05-16 14:02:52,125e88271c,
f28ohwdxn3cuf28vpvy2omyasgbqvpvy,Entre 36 y 65 años,3,Ávila,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez a la semana,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 14:00:53,2023-05-16 14:02:24,09a70e3b87,
879kqu1w66xgyfp2zym879kq6kf74onj,Entre 18 y 35 años,2,Salamanca,Conocer mi huella hídrica,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 13:59:16,2023-05-16 14:02:10,61811d5c66,
b26vb5n2jjrvo6tjsdb26vi5iamj0pwn,Entre 18 y 35 años,1,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:59:07,2023-05-16 14:01:43,53f9c4aa8f,
t5rpc6n08w26whext5rpc63e1bdp0tpx,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,,Entre 10€ y 40 €,2023-05-16 13:58:19,2023-05-16 14:01:22,fb32955b07,
f96l41po73sv11m9w5f96lunwifcugxf,Entre 18 y 35 años,1,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Nunca!,1 vez cada 3 días,Menos de 100 km,No tengo mascota,40,Entre 10€ y 40 €,2023-05-16 13:58:37,2023-05-16 13:59:59,a01c700ba1,
s2h34g851j80fuoss2h3u01csq8t6fu0,Entre 18 y 35 años,1,Álava,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Menos de 10 €,2023-05-16 13:57:57,2023-05-16 13:59:48,c9d7a9fbe7,
ui1u2s0nmo8b983dftrzui1u2s64vuf2,Mayor de 65 años,3,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:54:02,2023-05-16 13:57:55,b245b0540c,
x7v4o3kofmjh1qpzcx7v4ofyqbl3rc2f,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €,2023-05-16 13:55:27,2023-05-16 13:57:54,a7da4d3c47,
o4qjxmhiy0f6nwcdx1o4qjag0kyojkri,Entre 36 y 65 años,1,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:55:18,2023-05-16 13:57:50,7c38b02a4e,
a5epdghom574ehxoa5epdfpzj5kdf3r9,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 13:54:21,2023-05-16 13:56:20,ea450fd2ac,
p1v884t9v6zrj69feoep1v88g1wvfpas,Entre 36 y 65 años,2,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,,Entre 10€ y 40 €,2023-05-16 13:52:53,2023-05-16 13:55:15,dbb251a9cd,
ftyznrdspfskdr0vuvtbshftyzn824l9,Entre 18 y 35 años,3,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:52:42,2023-05-16 13:53:59,3547e90e85,
6osglw0c1kniri0xe06osglwjh82xzly,Entre 18 y 35 años,4,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:49:06,2023-05-16 13:53:40,a2c1b4b956,
6mhp0bsq5zwwtfvx6mhpc4glui6dh46z,Entre 18 y 35 años,3,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:50:58,2023-05-16 13:52:49,61311fe533,
cginanap2henejsylcginan5hk8okr0p,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,Friego a mano,Siempre,Si,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Entre 10€ y 40 €,2023-05-16 13:51:10,2023-05-16 13:52:43,ef08e2c69e,
9duvwq88n19rn4hncd9duv7uh4a4hsoh,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,Entre 50 y 100 €,0,Más de 40 €,2023-05-16 13:51:32,2023-05-16 13:52:43,edfce48e62,
ipfp8hjvv5jgddipferg9zfbcsv8ixie,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,250,Ni idea!,2023-05-16 13:50:13,2023-05-16 13:52:33,7eef851810,
9ylld6xo3cmrpr414oa9yll3558n1vrn,Entre 18 y 35 años,4,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,10,Menos de 10 €,2023-05-16 13:48:13,2023-05-16 13:50:06,1f790cb5c2,
u0kyi7nhfmo9x0wmu0kyivktqdytk8gj,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Si,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:47:53,2023-05-16 13:49:39,15c7dc22f4,
q77msvkt2dpt6jq21q77msv7s97a77yq,Entre 36 y 65 años,2,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,100,Menos de 10 €,2023-05-16 13:46:36,2023-05-16 13:48:33,8d79b05a84,
nljmud9sqsedi0fynljvnp3x3yc8klmo,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,No tengo,Ni idea!,2023-05-16 13:46:44,2023-05-16 13:47:55,9c3705181b,
