#,¿En qué rango de edad te encuentras?,¿Cuántas personas sois en vuestro hogar?,¿En qué provincia vives? Vamos a conocernos un poco mejor 😄,¿De cuál de estos temas te interesaría saber más?,¿Cuánto duran tus duchas?,¿Cuántas veces pones la lavadora a la semana?,¿Cuántas veces pones el lavavajillas?,¿Sueles poner el modo *ECO *en tus electrodomésticos?,¿Reciclas agua para usarlo en otras tareas?,"¿*Reciclas *vidrio, cartón y plástico?",¿Cada cuánto consumes *carne*?,¿Cuántos km haces a la semana en coche?,¿Cuánto gastas al mes en comida para gato/perro?,¿Cuántos metros cuadrados tiene tu jardín?,¿Sabes cuánto dinero gastas en tu consumo de agua al mes?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
krubekc6mvdgf2bkr5f8mzd4n9mdufm3,Entre 18 y 35 años,3,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 13:05:06,2023-05-16 13:06:40,2d5cdb4ab6,
y2gneq2gz8k8nt1438y2gneotim6tqvp,Entre 18 y 35 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:36:19,2023-05-16 13:06:22,a2c1b4b956,
kshzr8qj4zutij1kl0kshzrmozit06y8,Entre 18 y 35 años,5,Madrid,Ayudar al ecosistema,Más de 15 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!,2023-05-16 13:04:15,2023-05-16 13:06:14,5c710972e1,
hdkoanv16jaahewth2bhdkol9alnxiaj,Entre 18 y 35 años,2,Pontevedra,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:03:31,2023-05-16 13:05:14,8368068f56,
95yldtuv0vmmqnbi8ebloa3i95yldtim,Mayor de 65 años,1,Cantabria,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,800,Ni idea!,2023-05-16 13:02:20,2023-05-16 13:04:32,54c165f620,
br88u8iqlftr068kbrtiut23d60h24n9,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Más de 200 km,No tengo mascota,,Ni idea!,2023-05-16 13:00:39,2023-05-16 13:03:40,80887549ea,
9ecdplotibehpx9don9ecdpluzi6i9s1,Entre 18 y 35 años,3,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Nunca!,1 vez al día,100 - 200 km,Entre 50 y 100 €,70,Más de 40 €,2023-05-16 13:00:56,2023-05-16 13:02:37,688950a2bd,
vjstr1euovpu6ibvjsts78v4bgpi91uv,Entre 18 y 35 años,5,Segovia,Conocer mi huella hídrica,Menos de 5 minutos,Más de 5,1 vez al día,A veces,No,Nunca!,1 vez a la semana,No uso coche,No tengo mascota,0,Ni idea!,2023-05-16 13:00:24,2023-05-16 13:02:10,690c4bdd1f,
10xtqfbkjfsdu6kazyi4ugd10xtqfimz,Entre 18 y 35 años,3,Segovia,Ahorrar agua,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €,2023-05-16 12:59:37,2023-05-16 13:02:06,3351f7a99c,
ryr1g219lsc0o67h5arycn9lgd123cm2,Entre 18 y 35 años,3,Toledo,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez a la semana,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 12:58:39,2023-05-16 13:00:58,fdd500a0fe,
