Iteration,K-Value,Inertia,Silhouette
1,2,2219.5614916231307,0.30579599788539163
1,3,1823.6208495805276,0.2777403682069717
1,4,1553.77301609596,0.26261946484384163
1,5,1404.89545914162,0.2765123990383485
1,6,1309.7838395085514,0.2636262717749004
1,7,1182.4519173548695,0.2902096285590367
1,8,1105.6385094758207,0.3062570060117377
1,9,1042.2164345784233,0.3136545179578361
2,2,2218.2811542991763,0.3060584921042089
2,3,1811.6683435225957,0.28221265874114676
2,4,1586.4962568891458,0.2564499648327017
2,5,1458.037609642441,0.25376294034129
2,6,1319.8360128482673,0.27779764507060584
2,7,1189.2647299960536,0.2846565752395737
2,8,1111.0534747271663,0.30119072647002104
2,9,1051.7746066423676,0.29952856279255724
3,2,1945.7991540850198,0.3257058257664387
3,3,1554.8422943081703,0.3021402477033208
3,4,1328.6885217703689,0.2850642814306475
3,5,1185.9338879916852,0.296569106733131
3,6,1064.7198005741002,0.30182610255635556
3,7,1019.9603835790052,0.2891683802293253
3,8,935.4814172522674,0.31050841082106145
3,9,857.9059068315164,0.3219774746068419
4,2,2006.3988026015418,0.33601258820627006
4,3,1608.5370709382146,0.31134043270625794
4,4,1382.9115678657445,0.2966399812380364
4,5,1248.7507956937684,0.30455590047421777
4,6,1137.7118535923569,0.32265539259791826
4,7,1030.618786576496,0.35463591852929366
4,8,952.6148649169724,0.3422848989077399
4,9,877.7671427061846,0.3771751798242392
5,2,1839.0487659881096,0.34099565650355285
5,3,1446.3027838755156,0.3239833850093481
5,4,1218.184085124895,0.3159083905521504
5,5,1095.9499288491188,0.3172933061406144
5,6,1000.7924146610192,0.3287814787086208
5,7,892.2566886357498,0.3525235129001415
5,8,823.5475777524971,0.3719236302346604
5,9,756.9028332097004,0.37051747434240645
6,2,1871.6689489999208,0.33904778557371557
6,3,1477.6665600079373,0.3206571509727692
6,4,1281.6451974116917,0.2961442861316665
6,5,1108.4536676384796,0.32348385190586154
6,6,1050.4148139613187,0.32131525136330763
6,7,921.477424540833,0.3435331624602703
6,8,837.2538900025331,0.3636972078610696
6,9,769.5414188284984,0.3833579675904335
7,2,2194.838394263479,0.30736675545403164
7,3,1802.67090180369,0.2800985382043999
7,4,1530.5986686556694,0.2974376387332695
7,5,1388.6439410692506,0.31084906167676113
7,6,1241.3634545643893,0.30291101792395225
7,7,1126.626723319912,0.3294509472115517
7,8,1026.0335332699267,0.35447078710498925
7,9,943.4824629582572,0.37965465708294693
8,2,2054.2800832859866,0.3210556450162609
8,3,1657.5195078653824,0.3003177633044184
8,4,1405.862722630699,0.3265515548431711
8,5,1249.2618685880955,0.3181070703200581
8,6,1139.1034469226242,0.315087832506651
8,7,1020.8510750461515,0.3571866170321751
8,8,931.538093139533,0.3778221110754015
8,9,880.3581621275782,0.37608095764251076
9,2,2132.8513384975695,0.31498245323754104
9,3,1735.054091891869,0.2928647697003379
9,4,1528.7188550504452,0.29267685379181546
9,5,1347.9254613042995,0.3122860324068588
9,6,1209.6242599203078,0.3138200593788286
9,7,1089.0677952629685,0.3316808684115256
9,8,1009.4706360367898,0.3416067000942062
9,9,887.6375024138173,0.3845269100445205
10,2,2253.903876218012,0.30239209261338984
10,3,1843.2250124937536,0.28170377850177636
10,4,1628.4324385489451,0.24653742333581488
10,5,1491.4577929760353,0.2499238223927286
10,6,1348.7494513329152,0.2608174871440788
10,7,1256.0657661476237,0.27240259675687734
10,8,1186.9197879668468,0.26774012373763056
10,9,1092.6923973686266,0.29020959818191133
11,2,1981.0795712484241,0.3209919325862524
11,3,1587.5114748078572,0.2988033887110391
11,4,1392.5124358870687,0.25614102431674884
11,5,1244.7957639280885,0.2674745699681151
11,6,1130.2303884695918,0.2777602195365069
11,7,1037.5260968863333,0.2995531809320042
11,8,962.5124866709552,0.30479968266308133
11,9,908.1701007071733,0.3325724282108613
12,2,2042.7260256391446,0.3335384738066401
12,3,1642.0154397584338,0.3069853679686154
12,4,1458.3748669944043,0.2701245566055456
12,5,1301.7190370693745,0.27526472419206777
12,6,1207.018242204509,0.29019099776243396
12,7,1067.8250682497494,0.3345653382193527
12,8,993.0806121773978,0.34531807824638666
12,9,928.9761676373819,0.3410631273755433
13,2,1874.160447788032,0.33506445843342025
13,3,1479.1777006775728,0.31966651889322456
13,4,1284.4549832823063,0.28376123526237634
13,5,1137.4154952707254,0.311777122959822
13,6,1011.3241595663459,0.3308514365428667
13,7,910.1818200698755,0.34526972416905805
13,8,846.2380001090678,0.3443149270510979
13,9,797.1389438072199,0.36606324942715995
14,2,1906.872438668288,0.33404321232085704
14,3,1510.5821897291194,0.31780546125281645
14,4,1351.8645274484556,0.3173494022757952
14,5,1168.222838411582,0.30276716099224166
14,6,1026.3908149246772,0.32712331582770754
14,7,934.5055085161991,0.34996996694305305
14,8,867.4993380899357,0.36233700250018847
14,9,834.8670977104586,0.34097817574672235
15,2,2230.313002107324,0.3023429912363322
15,3,1835.6466771523706,0.27768241855889747
15,4,1563.5327232421782,0.2923337413606597
15,5,1427.739667871488,0.29461845781351226
15,6,1287.1614902990104,0.2913317986549522
15,7,1212.4012316122732,0.28837086657907296
15,8,1094.1439973223082,0.3338740994549729
15,9,1005.0185674760453,0.3422437911049484
16,2,2089.334905422446,0.31458252149286137
16,3,1741.3323428825377,0.2534173864918179
16,4,1431.8841489672227,0.3191291012459009
16,5,1288.506038644036,0.32327409416784747
16,6,1149.394553269854,0.3201881640139199
16,7,1050.8499701784485,0.33507901326820166
16,8,968.0713893318409,0.36463663883938535
16,9,896.9582035782173,0.384958854036746
17,2,2167.9595257445776,0.3094462922834303
17,3,1767.9737551931112,0.2893794697607824
17,4,1542.988059058187,0.2948454798616334
17,5,1389.8029368846642,0.2852748106217445
17,6,1277.1864977591922,0.3169071885743356
17,7,1166.947234020823,0.3132322852708327
17,8,1033.764896812082,0.34347159714083747
17,9,934.1509975411541,0.369397166900256
18,2,1979.783757881463,0.3246802173155531
18,3,1575.2437196990263,0.3064359396264101
18,4,1358.983397213143,0.2775692402173397
18,5,1243.4763384076787,0.2811004682019304
18,6,1109.9879237412415,0.2903050925401601
18,7,1031.0279517394015,0.2966191892777908
18,8,965.9756173230403,0.31157464636868476
18,9,874.7343697958297,0.31988133313940226
19,2,2038.5720534655143,0.33453407239441485
19,3,1626.731635661028,0.3158186599816585
19,4,1432.6297114451145,0.2810981575423835
19,5,1269.1804666068529,0.30094282161784225
19,6,1164.6101531633276,0.3064674430305457
19,7,1046.4002670224463,0.3378188662220342
19,8,972.756704928272,0.3391977780950621
19,9,915.9132943436227,0.3431862461565441
20,2,1873.333740229147,0.3377688280170156
20,3,1466.8082832548203,0.327021663777506
20,4,1250.2117973722457,0.30682064822899774
20,5,1119.0675885902563,0.3120996984068237
20,6,999.2625587869962,0.32902179027290485
20,7,900.5368628648837,0.34909939294213577
20,8,864.9793496844773,0.3474051262155363
20,9,748.9610653898341,0.40114628058964197
21,2,1906.203180858853,0.3368049056377133
21,3,1498.0772078501336,0.3246890015517057
21,4,1281.9348064617463,0.3023311395436488
21,5,1162.5058543282555,0.3010967664525485
21,6,1034.2628321031693,0.32616968481424125
21,7,924.5605695614838,0.34714917471374873
21,8,862.9015123628355,0.3513390265415719
21,9,838.5484258071085,0.3485318927596435
22,2,2229.1817624888945,0.30533966945799196
22,3,1823.5082798420144,0.28445612234756484
22,4,1552.551167348161,0.29441456884586364
22,5,1401.9057216805745,0.30406248569126365
22,6,1259.701116664472,0.3053154818784515
22,7,1143.686923738406,0.3344894087126539
22,8,1091.475642376558,0.33396039495180074
22,9,990.4540527926505,0.34584671288758023
23,2,2088.3389111426977,0.3171266251826867
23,3,1677.473908168335,0.30194293314652965
23,4,1436.4189296383327,0.3120098415418056
23,5,1286.06481787356,0.32628603005500595
23,6,1132.5454673581903,0.3311379179342368
23,7,1034.2803009175673,0.3400792299132843
23,8,977.86126846932,0.3499067658408049
23,9,888.8365395350277,0.4063178465895095
24,2,2166.938157639224,0.3135008725343574
24,3,1757.3066335935678,0.2956213665990916
24,4,1535.05612728107,0.2999669570578738
24,5,1376.4445330396795,0.3095322024316283
24,6,1239.601283813506,0.33282771093849
24,7,1132.3797016224914,0.3304548469817987
24,8,1019.8693725026342,0.3484260044888403
24,9,951.5431859707728,0.36536667487060265
25,2,1768.1088211224535,0.35583791102719475
25,3,1372.5909236241055,0.33871396673920817
25,4,1177.69631697169,0.3145377616231003
25,5,1036.1388216454466,0.3276372523761176
25,6,956.823138726552,0.34734765851681937
25,7,861.5992617584968,0.3585646742374484
25,8,812.7638067843704,0.40456154989932885
25,9,708.0523215189507,0.4212439197727876
26,2,1600.566845613403,0.3626168264915577
26,3,1209.77167815459,0.3539527961001036
26,4,1015.1142971023557,0.3353343671623136
26,5,914.3208826069144,0.3410186289384771
26,6,815.9725290324855,0.3633621642185927
26,7,709.2579887846084,0.38499125146504554
26,8,624.9870519301749,0.44530227079493284
26,9,594.5195634308767,0.4666162106685143
27,2,1633.296469104666,0.36021855158020233
27,3,1241.217930372617,0.3499808978192828
27,4,1046.2272762517368,0.32972631068389546
27,5,902.7781083539522,0.3455976525570424
27,6,811.5148316122296,0.35370836232901026
27,7,740.8432856544335,0.38509856383000496
27,8,674.0295507800192,0.4089797537115917
27,9,613.5474283058414,0.44097962682645897
28,2,1956.7569458928783,0.3245573966293876
28,3,1566.4342504563213,0.3038775356375591
28,4,1293.9230779319744,0.3264593742516255
28,5,1157.4678195189697,0.33451420056627285
28,6,1018.7309893823351,0.3591059797735077
28,7,911.9711145216907,0.3671599067127313
28,8,837.604717077139,0.38297251691428813
28,9,749.3099810883751,0.4027818747649623
29,2,1815.6818266978921,0.3391727939830634
29,3,1420.6942347399445,0.325258172615366
29,4,1175.0593449055891,0.35465553750427026
29,5,1032.615400722525,0.3630124305109627
29,6,945.3838702286845,0.3485994416655532
29,7,834.0425352373956,0.3713348023314994
29,8,753.4744806234972,0.4177665078780936
29,9,702.8693851167666,0.4027552198730048
30,2,1894.3916015132409,0.3330886670005062
30,3,1498.6079035408425,0.3175500974178228
30,4,1299.4122826496632,0.31880262187775615
30,5,1127.8347802637086,0.33961994813405516
30,6,990.1848780120863,0.3403434021076084
30,7,848.5936827706366,0.387397611046981
30,8,768.7902576895366,0.40069121199984975
30,9,715.290776854843,0.4226824169791176
31,2,1662.27350606677,0.37095109832347833
31,3,1264.157225327269,0.3653732382774573
31,4,1069.256469076459,0.3557804444028685
31,5,922.4992248939329,0.3739238369340055
31,6,826.1813556630444,0.38878290476360067
31,7,748.7903539028096,0.39552009450932735
31,8,689.2706549045947,0.4212291831064073
31,9,647.6741782106529,0.4399267261434902
32,2,1694.929987004547,0.3717366916601147
32,3,1295.5338354421497,0.36162528044065173
32,4,1132.9422425487837,0.3660669687845035
32,5,972.9059535951069,0.3558763809067082
32,6,870.6211160937585,0.37755858760262956
32,7,796.6043712696044,0.37630054785094164
32,8,730.6032892702582,0.3886744089825659
32,9,690.9684889333228,0.42202527413385127
33,2,2017.6868182344253,0.335964804836327
33,3,1620.800329055793,0.31309712542594126
33,4,1348.2750878256743,0.33963263356768486
33,5,1199.5548525097174,0.35144879310858385
33,6,1069.4033011578533,0.3668882912120451
33,7,932.2750897367032,0.4152885033612539
33,8,872.4599714422704,0.4266198651875395
33,9,805.9551666508171,0.42449607862852334
34,2,1877.044180988069,0.34897352039521856
34,3,1475.2058014119361,0.3363745879195354
34,4,1229.8470434806002,0.37056265107369124
34,5,1085.2034380811137,0.37923393462972843
34,6,946.917216598668,0.3918464763327224
34,7,858.5520195473007,0.4089613955828181
34,8,783.3954148534577,0.4206809660851492
34,9,726.3481967641524,0.44195926036892835
35,2,1955.8755982918224,0.34367509539625146
35,3,1553.1768856577314,0.3278216944911025
35,4,1327.1524912643226,0.3435730888496434
35,5,1175.1395077229854,0.35408109758554834
35,6,1048.2989951258107,0.36197651956686394
35,7,906.6804590743707,0.41659684827340004
35,8,826.8515250366199,0.4266929569314525
35,9,758.9874927872569,0.4412249646279776
36,2,1526.3783866397193,0.37983916310543797
36,3,1132.8299888793802,0.38081022417754756
36,4,937.4449327665486,0.3782711174400987
36,5,793.4533062281637,0.40086509569211526
36,6,703.0063636034998,0.41528357893438744
36,7,642.1987613140517,0.44774298075671093
36,8,595.6804742263726,0.46035023534420516
36,9,546.0890703724938,0.4502991238431824
37,2,1849.8088416501537,0.33992837362668393
37,3,1457.988636507324,0.3264394713540232
37,4,1185.358078667394,0.3588763855069977
37,5,1049.2908477759993,0.37487780512727675
