,Age,Residents,Province,Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Pet,Garden,Estimation,AnnualWaterFootprint,DiaryWaterFootprint,AnnualCost,DiaryCost,AnnualDirectWaterFootprint,DiaryDirectWaterFootprint,DirectAnnualCost,DirectDiaryCost
41,Entre 18 y 35 años,2,Baleares,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,3378716,9256.76,6453347,17680.4,143295.66,392.59,273694.71,749.85
42,Entre 18 y 35 años,2,Asturias,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!,3340442,9151.9,6380245,17480.12,148958.33,408.11,284510.42,779.48
43,Entre 36 y 65 años,6,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,60,Entre 10€ y 40 €,2605455,7138.23,4976418,13634.02,42870.66,117.45,81882.96,224.34
44,Entre 36 y 65 años,3,Asturias,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,3273358,8968.1,6252114,17129.08,37207.99,101.94,71067.25,194.7
45,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2457179,6732.0,4693211,12858.11,14674.65,40.2,28028.59,76.79
46,Entre 36 y 65 años,1,Segovia,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!,3333725,9133.49,6367414,17444.97,142970.66,391.7,273073.96,748.15
47,Mayor de 65 años,3,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €,3328062,9117.98,6356598,17415.34,137307.99,376.19,262258.25,718.52
48,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,3210550,8796.03,6132150,16800.41,19795.66,54.23,37809.71,103.59
49,Entre 36 y 65 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2600487,7124.62,4966930,13608.03,37532.99,102.83,71688.0,196.41
50,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3179961,8712.22,6073725,16640.34,19470.66,53.34,37188.96,101.89
51,Entre 36 y 65 años,5,Madrid,Ahorrar agua,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2621425,7181.99,5006921,13717.59,58470.66,160.19,111678.96,305.97
52,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,3198023,8761.71,6108224,16734.86,37532.99,102.83,71688.0,196.41
53,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!,3273683,8968.99,6252735,17130.78,37532.99,102.83,71688.0,196.41
54,Entre 18 y 35 años,3,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Nunca!,1 vez cada 3 días,Más de 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2536029,6948.02,4843815,13270.73,43195.66,118.34,82503.71,226.04
55,Entre 36 y 65 años,2,Ávila,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Ni idea!,2409670,6601.84,4602470,12609.51,14132.99,38.72,26994.0,73.96
56,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,3111199,8523.83,5942390,16280.52,43195.66,118.34,82503.71,226.04
57,Entre 18 y 35 años,2,Asturias,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2735854,7495.49,5225481,14316.39,172900.0,473.7,330239.0,904.76
58,Entre 36 y 65 años,3,Santa Cruz de Tenerife,Ahorrar agua,Menos de 5 minutos,Más de 5,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,200,Entre 10€ y 40 €,2603442,7132.72,4972574,13623.49,39287.99,107.64,75040.05,205.59
59,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,Menos de 100 km,Entre 50 y 100 €,20,Entre 10€ y 40 €,3228407,8844.95,6166257,16893.86,37532.99,102.83,71688.0,196.41
60,Entre 36 y 65 años,3,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,3160970,8660.19,6037453,16540.97,137632.99,377.08,262879.0,720.22
61,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2568500,7036.99,4905834,13440.64,6275.66,17.19,11986.51,32.84
62,Entre 18 y 35 años,3,Asturias,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!,2582750,7076.03,4933052,13515.21,19795.66,54.23,37809.71,103.59
63,Entre 36 y 65 años,2,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,Más de 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2679316,7340.59,5117493,14020.53,19795.66,54.23,37809.71,103.59
64,Entre 36 y 65 años,2,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,3210955,8797.14,6132923,16802.53,19470.66,53.34,37188.96,101.89
65,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,30,Entre 10€ y 40 €,2645333,7247.49,5052586,13842.7,37532.99,102.83,71688.0,196.41
66,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,3447623,9445.54,6584960,18040.99,161032.99,441.19,307573.0,842.67
67,Entre 18 y 35 años,3,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!,3256676,8922.4,6220251,17041.78,19795.66,54.23,37809.71,103.59
68,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Ni idea!,3117592,8541.35,5954600,16313.97,48858.33,133.86,93319.42,255.67
69,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2582750,7076.03,4933052,13515.21,19795.66,54.23,37809.71,103.59
70,Entre 36 y 65 años,2,Asturias,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2723987,7462.98,5202815,14254.29,161032.99,441.19,307573.0,842.67
71,Entre 36 y 65 años,3,Asturias,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2288019,6268.55,4370116,11972.92,43195.66,118.34,82503.71,226.04
72,Entre 36 y 65 años,1,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Menos de 10 €,2675661,7330.58,5110512,14001.4,142970.66,391.7,273073.96,748.15
73,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Ni idea!,2461975,6745.14,4702372,12883.21,19470.66,53.34,37188.96,101.89
74,Entre 36 y 65 años,5,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2586967,7087.58,4941107,13537.28,24012.99,65.79,45864.8,125.66
75,Entre 36 y 65 años,5,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Siempre,1 vez a la semana,Más de 200 km,No tengo mascota,5,Entre 10€ y 40 €,2562383,7020.23,4894152,13408.63,24012.99,65.79,45864.8,125.66
76,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Menos de 5 minutos,Más de 5,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,200,Más de 40 €,2699278,7395.28,5155621,14124.99,39287.99,107.64,75040.05,205.59
77,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Ni idea!,3323798,9106.3,6348454,17393.03,37207.99,101.94,71067.25,194.7
78,Entre 36 y 65 años,3,Valladolid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,10,Entre 10€ y 40 €,2600952,7125.9,4967818,13610.46,37207.99,101.94,71067.25,194.7
79,Entre 36 y 65 años,1,Segovia,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2676391,7332.58,5111906,14005.22,142970.66,391.7,273073.96,748.15
80,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €,2730055,7479.6,5214404,14286.04,166370.66,455.81,317767.96,870.6
81,Mayor de 65 años,1,Segovia,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2746388,7524.35,5245601,14371.51,137307.99,376.19,262258.25,718.52
82,Entre 36 y 65 años,5,Burgos,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,3203686,8777.22,6119040,16764.49,43195.66,118.34,82503.71,226.04
83,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,3214037,8805.58,6138811,16818.66,24012.99,65.79,45864.8,125.66
84,Entre 36 y 65 años,4,Madrid,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2600162,7123.73,4966309,13606.33,37207.99,101.94,71067.25,194.7
85,Entre 36 y 65 años,2,Asturias,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €,2607421,7143.62,4980175,13644.31,43737.33,119.83,83538.29,228.87
