Age,Residents,Province,Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Pet,Garden,Estimation
Entre 36 y 65 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,4,Ni idea!
Entre 36 y 65 años,4.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,200,Menos de 10 €
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Cantabria,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Ni idea!
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,5.0,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,No,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez a la semana,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!
Entre 18 y 35 años,2.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €
Entre 36 y 65 años,2.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Si,Siempre,Nunca!,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,2.0,Asturias,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,5.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,5.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,94,Menos de 10 €
Entre 36 y 65 años,1.0,Cantabria,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Nunca!,1 vez a la semana,Más de 200 km,Entre 50 y 100 €,500,Más de 40 €
Entre 18 y 35 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,Nunca!,No uso coche,Menos de 50 €,10,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,50,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,Nunca!,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Baleares,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Asturias,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,6.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,60,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Asturias,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,1.0,Segovia,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!
Mayor de 65 años,3.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €
Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,5.0,Madrid,Ahorrar agua,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Nunca!,1 vez cada 3 días,Más de 200 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Ávila,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Ni idea!
Entre 36 y 65 años,4.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Asturias,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,3.0,Santa Cruz de Tenerife,Ahorrar agua,Menos de 5 minutos,Más de 5,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,200,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,Menos de 100 km,Entre 50 y 100 €,20,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Asturias,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!
Entre 36 y 65 años,2.0,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,Más de 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,30,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Ni idea!
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,2.0,Asturias,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Asturias,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,1.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Menos de 10 €
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Ni idea!
